station,t,rho_km,rho_dot_km_s,elev_rad
Station 2,0.0,4281.99112725241,-1.872590688164907,0.8430926972540939
Station 2,10.0,4263.468858440756,-1.8317634100502558,0.8523940008780513
Station 2,20.0,4245.357846950115,-1.7903397839761228,0.8616465622723023
Station 2,30.0,4227.664038367,-1.7483234984825415,0.870843091863203
Station 2,40.0,4210.393338062485,-1.7057189113169666,0.8799758981652922
Station 2,50.0,4193.551604405861,-1.662531068109297,0.889036875657279
Station 2,60.0,4177.144641797184,-1.6187657198966743,0.8980174936168231
Station 2,70.0,4161.1781935308745,-1.574429339356677,0.9069087861969782
Station 2,80.0,4145.657934504075,-1.529529135606193,0.9157013440685832
Station 2,90.0,4130.589463784661,-1.4840730674231948,0.924385307997274
Station 2,100.0,4115.978297043939,-1.4380698547550814,0.9329503647692275
Station 2,110.0,4101.829858924435,-1.391528988347601,0.9413857459356425
Station 2,120.0,4088.149475280321,-1.3444607374000432,0.9496802298782557
Station 2,130.0,4074.942365349943,-1.2968761550932861,0.9578221477601359
Station 2,140.0,4062.2136339002914,-1.2487870818576559,0.965799393966177
Station 2,150.0,4049.968263350102,-1.200206146271444,0.9735994416704615
Station 2,160.0,4038.2111058958926,-1.1511467634813637,0.98120936419637
Station 2,170.0,4026.946875666205,-1.101623131046782,0.9886158628480485
Station 2,180.0,4016.180140930307,-1.0516502221214048,0.9958053018859298
Station 2,190.0,4005.9153163883657,-1.0012437758996222,1.0027637512894587
Station 2,200.0,3996.1566555707964,-0.950420285269038,1.0094770378916407
Station 2,210.0,3986.908243374958,-0.8991969816269153,1.0159308053772123
Station 2,220.0,3978.1739887677654,-0.8475918168349912,1.0221105835043252
Station 2,230.0,3969.957617682892,-0.7956234423052784,1.0280018667347142
Station 2,240.0,3962.262666141271,-0.7433111852282066,1.03359020223709
Station 2,250.0,3955.0924736233665,-0.6906750219740292,1.0388612869629406
Station 2,260.0,3948.450176721277,-0.6377355487183161,1.0438010731860061
Station 2,270.0,3942.3387030981453,-0.5845139493627745,1.0483958815529872
Station 2,280.0,3936.7607657815233,-0.5310319608428464,1.0526325203243094
Station 2,290.0,3931.7188578163136,-0.4773118359337787,1.0564984091050018
Station 2,300.0,3927.215247301713,-0.4233763036866357,1.0599817049960876
Station 2,310.0,3923.25197283517,-0.36924852764483984,1.063071428758942
Station 2,320.0,3919.8308393847515,-0.3149520620101849,1.0657575883034283
Station 2,330.0,3916.9534146095552,-0.26051080594434806,1.0680312966104257
Station 2,340.0,3914.621025645871,-0.20594895620786557,1.069884881103603
Station 2,350.0,3912.8347563746534,-0.15129095835277706,1.0713119815128134
Station 2,360.0,3911.595445183714,-0.09656145669788063,1.0723076334341306
Station 2,370.0,3910.9036832356164,-0.041785243326077914,1.072868335092368
Station 2,380.0,3910.75981324988,0.013012793647895537,1.0729920952438388
Station 2,390.0,3911.163928805544,0.06780772228467047,1.0726784607024529
Station 2,400.0,3912.11587416757,0.12257461924336355,1.0719285226038384
Station 2,410.0,3913.6152446379742,0.17728862215969077,1.0707449012050618
Station 2,420.0,3915.6613874299665,0.23192498171858478,1.0691317097122814
Station 2,430.0,3918.2534030607453,0.28645911316349737,1.0670944982946506
Station 2,440.0,3921.3901472560965,0.3408666469897119,1.0646401800420076
Station 2,450.0,3925.0702333567033,0.3951234785762866,1.0617769411243945
Station 2,460.0,3929.2920350518,0.44920581658091274,1.0585141377749285
Station 2,470.0,3934.0536898589266,0.5030902297411081,1.0548621830137108
Station 2,480.0,3939.353103056133,0.5567536919113046,1.0508324260753001
Station 2,490.0,3945.187951857779,0.610173625246822,1.0464370274791874
Station 2,500.0,3951.555690107542,0.6633279412518117,1.0416888325861728
Station 2,510.0,3958.453553370135,0.7161950795546805,1.036601246211473
Station 2,520.0,3965.8785643983406,0.7687540442669882,1.0311881105654945
Station 2,530.0,3973.8275389505725,0.8209844378012117,1.0254635884391428
Station 2,540.0,3982.29709193306,0.8728664920426845,1.0194420531745851
Station 2,550.0,3991.2836438397885,0.92438109679129,1.013137986585826
Station 2,560.0,4000.78342746261,0.9755098254087237,1.0065658856337234
Station 2,570.0,4010.792494843361,1.0262349576274539,0.9997401783304061
Station 2,580.0,4021.306724439549,1.0765394994971618,0.9926751490574217
Station 2,590.0,4032.3218284749437,1.1264072004638843,0.98538487323526
Station 2,600.0,4043.8333604465197,1.1758225675954717,0.9778831610808835
