t,rho,rhodot,elev_deg,station_id,sc_lat_deg,sc_lon_deg,sc_alt_m
0.00000000000000000e+00,4.28199081772558020e+03,-1.87259022414097864e+00,4.83056532909604357e+01,2,2.44044973378856298e+01,3.50732407209612347e+02,3.61199999999999636e+03
1.00000000000000000e+01,4.26347002898223764e+03,-1.83176484921882321e+00,4.88385787315769235e+01,2,2.46001152786831412e+01,3.51026080665179506e+02,3.61200013532466437e+03
2.00000000000000000e+01,4.24535765907183577e+03,-1.79033888414864917e+00,4.93687114461744514e+01,2,2.47949868692083548e+01,3.51320802103206859e+02,3.61200054174764045e+03
3.00000000000000000e+01,4.22766441572123495e+03,-1.74832386849138532e+00,4.98956337730085906e+01,2,2.49891030298205585e+01,3.51616580170769055e+02,3.61200121993530956e+03
4.00000000000000000e+01,4.21039384932407575e+03,-1.70571815765169310e+00,5.04189050224817734e+01,2,2.51824546246260361e+01,3.51913423445420506e+02,3.61200217054444875e+03
5.00000000000000000e+01,4.19355145192766759e+03,-1.66253149435410030e+00,5.09380607824884990e+01,2,2.53750324614885798e+01,3.52211340432151360e+02,3.61200339422212528e+03
6.00000000000000000e+01,4.17714195235681382e+03,-1.61876516453518038e+00,5.14526122786942040e+01,2,2.55668272920657920e+01,3.52510339560269756e+02,3.61200489160552570e+03
7.00000000000000000e+01,4.16117772782303382e+03,-1.57443088899378258e+00,5.19620458059562367e+01,2,2.57578298118719893e+01,3.52810429180211145e+02,3.61200666332186483e+03
8.00000000000000000e+01,4.14565882502715158e+03,-1.52953011414446483e+00,5.24658222494671946e+01,2,2.59480306603689534e+01,3.53111617560274112e+02,3.61200870998820210e+03
9.00000000000000000e+01,4.13058893802075181e+03,-1.48407326306825404e+00,5.29633767167443494e+01,2,2.61374204210849825e+01,3.53413912883281853e+02,3.61201103221134690e+03
1.00000000000000000e+02,4.11597752552998736e+03,-1.43807055826138597e+00,5.34541183042695849e+01,2,2.63259896217631919e+01,3.53717323243170028e+02,3.61201363058770039e+03
1.10000000000000000e+02,4.10182758898451357e+03,-1.39152843929153813e+00,5.39374300253500820e+01,2,2.65137287345398391e+01,3.54021856641499824e+02,3.61201650570311540e+03
1.20000000000000000e+02,4.08814852873565087e+03,-1.34445884109961900e+00,5.44126689285498770e+01,2,2.67006281761536393e+01,3.54327520983896704e+02,3.61201965813279639e+03
1.30000000000000000e+02,4.07494431231382168e+03,-1.29687703868215132e+00,5.48791664387326108e+01,2,2.68866783081867951e+01,3.54634324076414543e+02,3.61202308844112304e+03
1.40000000000000000e+02,4.06221387173076346e+03,-1.24878859593553604e+00,5.53362289552354341e+01,2,2.70718694373386484e+01,3.54942273621825450e+02,3.61202679718154468e+03
1.50000000000000000e+02,4.04996708603371781e+03,-1.20020513878407131e+00,5.57831387437953410e+01,2,2.72561918157328122e+01,3.55251377215834964e+02,3.61203078489643849e+03
1.60000000000000000e+02,4.03821125362032944e+03,-1.15114741674640064e+00,5.62191551603802111e+01,2,2.74396356412587821e+01,3.55561642343223184e+02,3.61203505211697848e+03
1.70000000000000000e+02,4.02694583171468412e+03,-1.10162341773166395e+00,5.66435162458042925e+01,2,2.76221910579486511e+01,3.55873076373911715e+02,3.61203959936298997e+03
1.80000000000000000e+02,4.01618123669902116e+03,-1.05165334915035147e+00,5.70554407296717656e+01,2,2.78038481563900959e+01,3.56185686558957116e+02,3.61204442714285324e+03
1.90000000000000000e+02,4.00591465642967387e+03,-1.00124469556967077e+00,5.74541304804962394e+01,2,2.79845969741763518e+01,3.56499480026471474e+02,3.61204953595332518e+03
2.00000000000000000e+02,3.99615579917165678e+03,-9.50420792153885752e-01,5.78387734354928185e+01,2,2.81644274963941115e+01,3.56814463777469655e+02,3.61205492627944477e+03
2.10000000000000000e+02,3.98691046886011100e+03,-8.99197733409220490e-01,5.82085470382201748e+01,2,2.83433296561504235e+01,3.57130644681645094e+02,3.61206059859439119e+03
2.20000000000000000e+02,3.97817195505476457e+03,-8.47591453274809226e-01,5.85626222046922891e+01,2,2.85212933351390880e+01,3.57448029473074143e+02,3.61206655335934738e+03
2.30000000000000000e+02,3.96995676543114951e+03,-7.95623118587514444e-01,5.89001678285573576e+01,2,2.86983083642479784e+01,3.57766624745850095e+02,3.61207279102338362e+03
2.40000000000000000e+02,3.96226117000801742e+03,-7.43309891816979151e-01,5.92203558233240557e+01,2,2.88743645242077669e+01,3.58086436949647691e+02,3.61207931202331565e+03
2.50000000000000000e+02,3.95509157952364694e+03,-6.90675703826581500e-01,5.95223666843990742e+01,2,2.90494515462832119e+01,3.58407472385218853e+02,3.61208611678359011e+03
2.60000000000000000e+02,3.94845097025667201e+03,-6.37737678055092294e-01,5.98053955360574037e+01,2,2.92235591130078269e+01,3.58729737199822239e+02,3.61209320571614808e+03
2.70000000000000000e+02,3.94233950207675571e+03,-5.84517261901839169e-01,6.00686586087751166e+01,2,2.93966768589627776e+01,3.59053237382585678e+02,3.61210057922030683e+03
2.80000000000000000e+02,3.93675991138754989e+03,-5.31033429306075222e-01,6.03114000712264016e+01,2,2.95687943716010544e+01,3.59377978759805103e+02,3.61210823768262162e+03
2.90000000000000000e+02,3.93171891734539122e+03,-4.77312700257474520e-01,6.05328991195449859e+01,2,2.97399011921177063e+01,3.59703966990180390e+02,3.61211618147678382e+03
3.00000000000000000e+02,3.92721636559392664e+03,-4.23377639658886307e-01,6.07324772052712163e+01,2,2.99099868163670202e+01,3.12075599896748553e-02,3.61212441096345538e+03
3.10000000000000000e+02,3.92325403782806279e+03,-3.69251670611976224e-01,6.09095052640410444e+01,2,3.00790406958274943e+01,3.59705778204955973e-01,3.61213292649019968e+03
3.20000000000000000e+02,3.91983121626934690e+03,-3.14953443087330809e-01,6.10634107909399404e+01,2,3.02470522386156553e+01,6.89466771550156454e-01,3.61214172839131606e+03
3.30000000000000000e+02,3.91695256740095920e+03,-2.60511566625954261e-01,6.11936845969693692e+01,2,3.04140108105493958e+01,1.02049547950395358e+00,3.61215081698773974e+03
3.40000000000000000e+02,3.91461968145140918e+03,-2.05950429029143983e-01,6.12998870755913288e+01,2,3.05799057362616011e+01,1.35279664924988330e+00,3.61216019258690358e+03
3.50000000000000000e+02,3.91283472859718950e+03,-1.51293474618298035e-01,6.13816538098905013e+01,2,3.07447263003651940e+01,1.68637483057606019e+00,3.61216985548264711e+03
3.60000000000000000e+02,3.91159526480975092e+03,-9.65635447392005491e-02,6.14387003602125858e+01,2,3.09084617486700672e+01,2.02123437072711765e+00,3.61217980595506197e+03
3.70000000000000000e+02,3.91090423558565180e+03,-4.17854613573380163e-02,6.14708260893749809e+01,2,3.10711012894530256e+01,2.35737940921102718e+00,3.61219004427039908e+03
3.80000000000000000e+02,3.91076038869781905e+03,1.30115365781167548e-02,6.14779169072896465e+01,2,3.12326340947811154e+01,2.69481387256386862e+00,3.61220057068094502e+03
3.90000000000000000e+02,3.91116216473547183e+03,6.78049349682779828e-02,6.14599468480870357e+01,2,3.13930493018895049e+01,3.03354146907582800e+00,3.61221138542489825e+03
4.00000000000000000e+02,3.91211552547148040e+03,1.22570996378064678e-01,6.14169784290145913e+01,2,3.15523360146143155e+01,3.37356568348112651e+00,3.61222248872626369e+03
4.10000000000000000e+02,3.91361483537216873e+03,1.77287537891852753e-01,6.13491617795108866e+01,2,3.17104833048812331e+01,3.71488977161602474e+00,3.61223388079473807e+03
4.20000000000000000e+02,3.91566185780603291e+03,2.31920962499469974e-01,6.12567325686636508e+01,2,3.18674802142507119e+01,4.05751675504807263e+00,3.61224556182558081e+03
4.30000000000000000e+02,3.91825232338138949e+03,2.86456497920813236e-01,6.11400087974172237e+01,2,3.20233157555198957e+01,4.40144941568030656e+00,3.61225753199952851e+03
4.40000000000000000e+02,3.92139201835911854e+03,3.40866249110777286e-01,6.09993865562275772e+01,2,3.21779789143826846e+01,4.74669029033511425e+00,3.61226979148266219e+03
4.50000000000000000e+02,3.92506889890226421e+03,3.95120901367677524e-01,6.08353348775440281e+01,2,3.23314586511476421e+01,5.09324166532088007e+00,3.61228234042630174e+03
4.60000000000000000e+02,3.92929140752990088e+03,4.49203908487850023e-01,6.06483898341770598e+01,2,3.24837439025148527e+01,5.44110557098665470e+00,3.61229517896690413e+03
4.70000000000000000e+02,3.93405309914157306e+03,5.03086712112918666e-01,6.04391480485434869e+01,2,3.26348235834120217e+01,5.79028377626874935e+00,3.61230830722595420e+03
4.80000000000000000e+02,3.93935310321716042e+03,5.56753505446282215e-01,6.02082597837953912e+01,2,3.27846865888902812e+01,6.14077778323457579e+00,3.61232172530984462e+03
4.90000000000000000e+02,3.94518865564620182e+03,6.10173297291044303e-01,5.99564217863498712e+01,2,3.29333217960799942e+01,6.49258882162786843e+00,3.61233543330979410e+03
5.00000000000000000e+02,3.95155428410198874e+03,6.63326051026623675e-01,5.96843700411889770e+01,2,3.30807180662072255e+01,6.84571784342125511e+00,3.61234943130171632e+03
5.10000000000000000e+02,3.95845242840473111e+03,7.16193286974968979e-01,5.93928725877086734e+01,2,3.32268642466706794e+01,7.20016551738056609e+00,3.61236371934614544e+03
5.20000000000000000e+02,3.96587647322294060e+03,7.68752098004836681e-01,5.90827225262304410e+01,2,3.33717491731800280e+01,7.55593222364723704e+00,3.61237829748810145e+03
5.30000000000000000e+02,3.97382619274753233e+03,8.20981606012777587e-01,5.87547313250046983e+01,2,3.35153616719549561e+01,7.91301804834355682e+00,3.61239316575701923e+03
5.40000000000000000e+02,3.98229557436233699e+03,8.72863945019358267e-01,5.84097225159935931e+01,2,3.36576905619860014e+01,8.27142277820728822e+00,3.61240832416663761e+03
5.50000000000000000e+02,3.99128207293240530e+03,9.24379250764276961e-01,5.80485258461452815e+01,2,3.37987246573565656e+01,8.63114589526112574e+00,3.61242377271489386e+03
5.60000000000000000e+02,4.00078221507768831e+03,9.75509149398433695e-01,5.76719719302621456e+01,2,3.39384527696264016e+01,8.99218657152380629e+00,3.61243951138384182e+03
5.70000000000000000e+02,4.01079047472743969e+03,1.02623230691920364e+00,5.72808874326762094e+01,2,3.40768637102764842e+01,9.35454366376843183e+00,3.61245554013954461e+03
5.80000000000000000e+02,4.02130424756336015e+03,1.07653910750130355e+00,5.68760907882920037e+01,2,3.42139462932151588e+01,9.71821570833517612e+00,3.61247185893198366e+03
5.90000000000000000e+02,4.03232111521292654e+03,1.12640639592012137e+00,5.64583884594254783e+01,2,3.43496893373453247e+01,1.00832009160047438e+01,3.61248846769497504e+03
6.00000000000000000e+02,4.04383210582144875e+03,1.17582072250810010e+00,5.60285717133480716e+01,2,3.44840816691925198e+01,1.04494971669393770e+01,3.61250536634605669e+03
6.10000000000000000e+02,4.05583614838660333e+03,1.22476906149711162e+00,5.55874138964818911e+01,2,3.46171121255933301e+01,1.08171020056987999e+01,3.61252255478643201e+03
6.20000000000000000e+02,4.06832716241385560e+03,1.27323712231637209e+00,5.51356681746045822e+01,2,3.47487695564440671e+01,1.11860126363377113e+01,3.61254003290084256e+03
6.30000000000000000e+02,4.08129910790614122e+03,1.32120934499071696e+00,5.46740657039647076e+01,2,3.48790428275087194e+01,1.15562259175924833e+01,3.61255780055751529e+03
6.40000000000000000e+02,4.09475002018659325e+03,1.36867683418402875e+00,5.42033141955887672e+01,2,3.50079208232861845e+01,1.19277383581642500e+01,3.61257585760805523e+03
6.50000000000000000e+02,4.10867085725862398e+03,1.41562419450839605e+00,5.37240968339699734e+01,2,3.51353924499357575e+01,1.23005461121063586e+01,3.61259420388736908e+03
6.60000000000000000e+02,4.12305893918785114e+03,1.46204491300490136e+00,5.32370715114728057e+01,2,3.52614466382599971e+01,1.26746449743231757e+01,3.61261283921358154e+03
6.70000000000000000e+02,4.13790922260108164e+03,1.50792436809216568e+00,5.27428703408789659e+01,2,3.53860723467446476e+01,1.30500303761886975e+01,3.61263176338795711e+03
6.80000000000000000e+02,4.15321657076273914e+03,1.55325586285734185e+00,5.22420994102964542e+01,2,3.55092585646541394e+01,1.34266973812922252e+01,3.61265097619481821e+03
6.90000000000000000e+02,4.16897289466902475e+03,1.59803142617168392e+00,5.17353387469308927e+01,2,3.56309943151820434e+01,1.38046406813196967e+01,3.61267047740146882e+03
7.00000000000000000e+02,4.18517523265054024e+03,1.64224447289273967e+00,5.12231424588038919e+01,2,3.57512686586551709e+01,1.41838545920781911e+01,3.61269026675811983e+03
7.10000000000000000e+02,4.20181455158097469e+03,1.68588564137325991e+00,5.07060390262420597e+01,2,3.58700706957901261e+01,1.45643330496718111e+01,3.61271034399780183e+03
7.20000000000000000e+02,4.21889061865762415e+03,1.72894568447659336e+00,5.01845317177423524e+01,2,3.59873895710010174e+01,1.49460696068374155e+01,3.61273070883631044e+03
7.30000000000000000e+02,4.23639161526055341e+03,1.77142575304297245e+00,4.96590991075563934e+01,2,3.61032144757571274e+01,1.53290574294477295e+01,3.61275136097212271e+03
7.40000000000000000e+02,4.25431752018805764e+03,1.81331820312719683e+00,4.91301956749609232e+01,2,3.62175346519886574e+01,1.57132892931910337e+01,3.61277230008633342e+03
7.50000000000000000e+02,4.27265827185466242e+03,1.85461378029751467e+00,4.85982524676581917e+01,2,3.63303393955391982e+01,1.60987575804344836e+01,3.61279352584257867e+03
7.60000000000000000e+02,4.29140858792355266e+03,1.89531827547704479e+00,4.80636778140403393e+01,2,3.64416180596632557e+01,1.64854542772802084e+01,3.61281503788698501e+03
7.70000000000000000e+02,4.31056228046228352e+03,1.93542451957827311e+00,4.75268580711514801e+01,2,3.65513600585668783e+01,1.68733709708218136e+01,3.61283683584808387e+03
7.80000000000000000e+02,4.33011379687496628e+03,1.97492856777798442e+00,4.69881583970783154e+01,2,3.66595548709895382e+01,1.72624988466097946e+01,3.61285891933676612e+03
7.90000000000000000e+02,4.35005937505017937e+03,2.01382865585782556e+00,4.64479235382010387e+01,2,3.67661920438252849e+01,1.76528286863336952e+01,3.61288128794620752e+03
8.00000000000000000e+02,4.37038761601963506e+03,2.05213085702491682e+00,4.59064786232464499e+01,2,3.68712611957811163e+01,1.80443508657291751e+01,3.61290394125182138e+03
8.10000000000000000e+02,4.39109942017953563e+03,2.08982498117157744e+00,4.53641299574147681e+01,2,3.69747520210700955e+01,1.84370553527177634e+01,3.61292687881119127e+03
8.20000000000000000e+02,4.41218151387032685e+03,2.12691503984565111e+00,4.48211658110177993e+01,2,3.70766542931372669e+01,1.88309317057873571e+01,3.61295010016402011e+03
8.30000000000000000e+02,4.43363549331919603e+03,2.16340459294882859e+00,4.42778571980779247e+01,2,3.71769578684156841e+01,1.92259690726210231e+01,3.61297360483206830e+03
8.40000000000000000e+02,4.45544833282765103e+03,2.19928973958437179e+00,4.37344586412122780e+01,2,3.72756526901101068e+01,1.96221561889814176e+01,3.61299739231911371e+03
8.50000000000000000e+02,4.47761682430134806e+03,2.23457504145532226e+00,4.31912089198786617e+01,2,3.73727287920058231e+01,2.00194813778587068e+01,3.61302146211088620e+03
