t,rho,rhodot,elev_deg,station_id,sc_lat_deg,sc_lon_deg,sc_alt_m
0.00000000000000000e+00,4.28199081772558020e+03,-1.87259022414097864e+00,4.83056532909604357e+01,2,2.44044973378856298e+01,3.50732407209612347e+02,3.61199999999999636e+03
1.00000000000000000e+01,4.26347002920486284e+03,-1.83176480465132951e+00,4.88385787325831870e+01,2,2.46001152785336359e+01,3.51026080665173993e+02,3.61200013555814439e+03
2.00000000000000000e+01,4.24535765996398004e+03,-1.79033879477446334e+00,4.93687114501593811e+01,2,2.47949868686162525e+01,3.51320802103162805e+02,3.61200054268178610e+03
3.00000000000000000e+01,4.22766441773206498e+03,-1.74832373409524222e+00,4.98956337818852163e+01,2,2.49891030285018090e+01,3.51616580170619898e+02,3.61200122203757746e+03
4.00000000000000000e+01,4.21039385290478094e+03,-1.70571797804360181e+00,5.04189050381053860e+01,2,2.51824546223059365e+01,3.51913423445066144e+02,3.61200217428253563e+03
5.00000000000000000e+01,4.19355145753120269e+03,-1.66253126937066598e+00,5.09380608066592444e+01,2,2.53750324579021047e+01,3.52211340431457586e+02,3.61200340006389888e+03
6.00000000000000000e+01,4.17714196043763968e+03,-1.61876489404095869e+00,5.14526123131605146e+01,2,2.55668272869577287e+01,3.52510339559067916e+02,3.61200490001898652e+03
7.00000000000000000e+01,4.16117773883680820e+03,-1.57443057288257515e+00,5.19620458524193509e+01,2,2.57578298049973107e+01,3.52810429178298079e+02,3.61200667477508068e+03
8.00000000000000000e+01,4.14565883943045174e+03,-1.52952975234062460e+00,5.24658223095868408e+01,2,2.59480306514930881e+01,3.53111617557411535e+02,3.61200872494928080e+03
9.00000000000000000e+01,4.13058895627074889e+03,-1.48407285552794921e+00,5.29633767921455458e+01,2,2.61374204099840775e+01,3.53413912879196232e+02,3.61201105114835991e+03
1.00000000000000000e+02,4.11597754808412992e+03,-1.43807010497382204e+00,5.34541183965508182e+01,2,2.63259896082244218e+01,3.53717323237552250e+02,3.61201365396864458e+03
1.10000000000000000e+02,4.10182761630018285e+03,-1.39152794028014748e+00,5.39374301360928854e+01,2,2.65137287183617225e+01,3.54021856634004848e+02,3.61201653399587121e+03
1.20000000000000000e+02,4.08814856126982340e+03,-1.34445829642320458e+00,5.44126690593294953e+01,2,2.67006281571463369e+01,3.54327520974143113e+02,3.61201969180506239e+03
1.30000000000000000e+02,4.07494435052270001e+03,-1.29687644843595340e+00,5.48791665911303710e+01,2,2.68866782861723763e+01,3.54634324063984593e+02,3.61202312796037768e+03
1.40000000000000000e+02,4.06221391606941734e+03,-1.24878796025226513e+00,5.53362291308525087e+01,2,2.70718694121514538e+01,3.54942273606264507e+02,3.61202684301499721e+03
1.50000000000000000e+02,4.04996713695569269e+03,-1.20020445783482699e+00,5.57831389442680106e+01,2,2.72561917872197803e+01,3.55251377196651276e+02,3.61203083751097438e+03
1.60000000000000000e+02,4.03821131157726404e+03,-1.15114669074154996e+00,5.62191553873964125e+01,2,2.74396356092797511e+01,3.55561642319887596e+02,3.61203511197911394e+03
1.70000000000000000e+02,4.02694589715592110e+03,-1.10162264692160816e+00,5.66435165011217165e+01,2,2.76221910223766791e+01,3.55873076345857442e+02,3.61203966693883922e+03
1.80000000000000000e+02,4.01618131007118791e+03,-1.05165253382620594e+00,5.70554410151370419e+01,2,2.78038481171118299e+01,3.56185686525579399e+02,3.61204450289804663e+03
1.90000000000000000e+02,4.00591473817628639e+03,-1.00124383606385137e+00,5.74541307980655560e+01,2,2.79845969310923408e+01,3.56499479987127359e+02,3.61204962035300377e+03
2.00000000000000000e+02,3.99615588973269496e+03,-9.50419888840573379e-01,5.78387737872533165e+01,2,2.81644274494192075e+01,3.56814463731477701e+02,3.61205501978818393e+03
2.10000000000000000e+02,3.98691056867160341e+03,-8.99196786704722473e-01,5.82085474264122311e+01,2,2.83433296052140520e+01,3.57130644628285097e+02,3.61206070167616599e+03
