case,day_target,day_selected,BdotT_km,BdotR_km,sigma_T_km,sigma_R_km
Forward IEKF,50.0,51.791666666666664,-9383.885531264736,9253.786861226403,214.13584758326218,76.99053502094691
Forward IEKF,100.0,98.65972222222223,8246.246063980896,14212.935431957647,119.55408283003743,44.57017391790884
Forward IEKF,150.0,150.0,-7438.0273564811005,9178.080028772969,272.3938685428267,96.1076389605373
Forward IEKF,200.0,201.5,9692.901104424083,15954.137438553962,29.739138923223283,57.05387287368709
Forward IEKF,250.0,247.4162962962963,9013.130786970434,7896.776405724904,18.34570140172775,35.85322035710657
